"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE","Location","QTY"
"7","Hub, 8-port, with power supply","Figure 3-3.csv","7025-04-000-3328","102-0343-001","57219","ST-67","1"
"8","Slide, 28 inch","Figure 3-3.csv","NSL","200.1113-001","57219","Not Stocked Locally",""
"8","Slide, 28 inch","Figure 3-3.csv","NSL","375QD-28","05236","Not Stocked Locally",""
"9","Computer Assembly, ICS","Figure 3-3.csv","7025-04-000-6150","102-0377-003","57219","VCS RM   PARTS ONLY","0"
"9","Computer Assembly, ICS","Figure 3-3.csv","7025-04-000-6150","TR4X-2874","0DJ42","VCS RM   PARTS ONLY","0"
"10","Motherboard, dual cpu, 1 gb","Figure 3-3.csv","5998-04-000-6137","300-0222-001","57219","ST-67","1"
"10","Motherboard, dual cpu, 1 gb","Figure 3-3.csv","5998-04-000-6137","BOXN440BX","34649","ST-67","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","102-0370-001","57219","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","BX80523P350512E","34221","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","C99CP560","09YY7","C02H2","1"
"11","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","Figure 3-3.csv","7025-04-000-6154","232A805-2","03640","C02H2","1"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","232A813-1","03640","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","FD-235HF-C291","50356","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","102-0318-001","57219","C02I3","2"
"12","Drive, floppy, 3.5 inch, 1.44 mb","Figure 3-3.csv","7025-03-000-4941","MPF920-1/131","3K872","C02I3","2"
"13","Drive, cd-rom, internal, SCSI","Figure 3-3.csv","7025-04-000-0772","XM-5401B","0JR04","C02H1","1"
"13","Drive, cd-rom, internal, SCSI","Figure 3-3.csv","7025-04-000-0772","064-0052-001","0ZS81","C02H1","1"
"14","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-3.csv","7025-04-000-6153","202-0083-001","57219","SSL","0"
"14","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","Figure 3-3.csv","7025-04-000-6153","SS4-26A07-HS","0DJ42","SSL","0"
"15","Power supply, 250 W, ATX","Figure 3-3.csv","6130-04-000-6227","200-1078-001","57219","Not Stocked Locally",""
"15","Power supply, 250 W, ATX","Figure 3-3.csv","6130-04-000-6227","MR2-6250F-2S","TP204","Not Stocked Locally",""
"16","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-3.csv","6130-04-000-6226","132-0130-001","57219","C02H2","1"
"16","Power Supply Module, 6 output, 110/220 VAC, 250 W","Figure 3-3.csv","6130-04-000-6226","066-00104-00","0DJ42","C02H2","1"
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","150-0386-001","57219","Not Stocked Locally",""
"17","Memory, DIMM, SDRAM, 128 mb","Figure 3-3.csv","5962-04-000-6138","IBM13M16734HCB-360T","1BBP4","Not Stocked Locally",""
